ID_Pelanggan,Tahun,Umur,Pekerjaan,Jumlah_Chat,Frekuensi_Konsultasi,Kunjungan_Website,Nilai_Transaksi,Frekuensi_Pembelian,Produk_Diminati,Status_Pembayaran,Lead_Scoring
324,2024,46,Wirausaha,10,6,20,8207591,3,CCTV Indoor,Lunas,Hot
325,2024,40,Kontraktor,25,4,18,8215718,6,Kamera CCTV,Lunas,Hot
326,2024,44,Freelancer,22,4,1,5234813,3,Kamera CCTV,Belum,Warm
327,2024,37,Wirausaha,9,5,7,6454582,2,DVR,Belum,Warm
328,2024,33,Karyawan,24,1,17,8692862,7,Kamera CCTV,Belum,Hot
329,2024,30,Pegawai,11,3,4,10756773,5,CCTV Indoor,Lunas,Warm
330,2024,23,Pegawai Swasta,7,5,15,5898762,4,DVR,Belum,Warm
331,2024,25,Wirausaha,29,1,17,11293287,3,DVR,Belum,Hot
332,2024,40,Teknisi,6,6,8,2929718,6,Paket CCTV,Belum,Warm
333,2024,50,Freelancer,6,1,19,10104543,5,Kamera CCTV,Belum,Warm
334,2024,28,Karyawan,26,3,4,13705404,8,DVR,Belum,Hot
335,2025,38,Karyawan,26,3,13,14524978,2,Kamera CCTV,Belum,Hot
336,2025,30,Teknisi,8,4,14,2304826,4,DVR,Belum,Cold
337,2025,25,Teknisi,11,6,19,9260585,7,DVR,Lunas,Hot
338,2025,43,Kontraktor,6,3,14,5783290,6,CCTV Outdoor,Lunas,Warm
339,2025,35,Karyawan,20,2,19,14770791,6,DVR,Lunas,Hot
340,2025,43,Mahasiswa,25,5,13,2692683,3,DVR,Lunas,Warm
341,2025,25,Pegawai,5,7,15,7865946,5,Paket CCTV,Lunas,Warm
342,2025,26,Wirausaha,1,8,8,1035344,6,CCTV Outdoor,Lunas,Cold
343,2025,40,Pegawai,28,2,3,6145555,3,DVR,Lunas,Warm
344,2025,50,Kontraktor,30,1,4,2487791,6,DVR,Belum,Cold
345,2025,37,Mahasiswa,9,4,5,9782125,4,DVR,Belum,Warm
346,2025,47,Mahasiswa,1,7,8,7963838,6,Paket CCTV,Belum,Warm
347,2025,31,Pegawai Swasta,19,1,6,10747719,8,Paket CCTV,Belum,Warm
348,2025,50,Freelancer,2,5,20,5764047,2,CCTV Outdoor,Lunas,Warm
349,2025,40,Kontraktor,24,8,8,8641140,8,Kamera CCTV,Lunas,Hot
350,2025,26,Teknisi,13,3,8,2180920,8,Paket CCTV,Belum,Cold
351,2025,49,Karyawan,16,6,1,3069407,2,CCTV Indoor,Lunas,Warm
352,2025,25,Wirausaha,3,8,3,11122797,8,CCTV Outdoor,Belum,Warm
353,2025,24,Kontraktor,30,8,20,5367029,3,CCTV Indoor,Belum,Warm
354,2025,24,Freelancer,13,6,12,11567864,1,Kamera CCTV,Belum,Warm
355,2025,27,Kontraktor,29,4,14,13230650,6,CCTV Indoor,Lunas,Hot
356,2025,33,Pegawai Swasta,1,6,11,11658949,2,CCTV Outdoor,Lunas,Warm
357,2025,44,Mahasiswa,2,8,4,4094477,4,CCTV Outdoor,Lunas,Cold
358,2025,34,Karyawan,16,8,10,13805928,3,CCTV Indoor,Lunas,Hot
359,2025,30,Freelancer,12,6,2,3314317,3,CCTV Indoor,Belum,Warm
360,2025,27,Freelancer,1,5,20,14323578,4,Paket CCTV,Lunas,Warm
361,2025,24,Wirausaha,9,1,8,5862869,6,Kamera CCTV,Belum,Warm
362,2025,47,Mahasiswa,6,7,16,2387064,8,DVR,Lunas,Cold
363,2025,41,Mahasiswa,6,7,11,2006437,5,CCTV Outdoor,Belum,Cold
364,2025,23,Kontraktor,1,8,4,4141477,2,CCTV Indoor,Belum,Cold
365,2025,35,Wirausaha,23,2,15,10009767,8,DVR,Lunas,Hot
366,2025,50,Karyawan,18,5,13,9817889,1,Kamera CCTV,Lunas,Hot
367,2025,31,Freelancer,26,2,1,11060476,6,Kamera CCTV,Lunas,Warm
368,2025,30,Karyawan,8,7,14,5124763,5,Paket CCTV,Belum,Warm
369,2025,22,Mahasiswa,1,4,20,4509773,7,DVR,Lunas,Warm
370,2025,32,Wirausaha,8,6,10,14857869,8,DVR,Belum,Warm
371,2025,29,Pegawai Swasta,17,5,11,1235189,5,CCTV Indoor,Lunas,Cold
372,2025,32,Teknisi,27,4,19,1183354,5,Kamera CCTV,Lunas,Cold
373,2025,27,Karyawan,12,1,4,6320396,1,DVR,Lunas,Cold
374,2025,28,Freelancer,23,4,20,14976872,5,DVR,Belum,Hot
375,2025,22,Pegawai Swasta,20,2,19,14274782,3,Kamera CCTV,Belum,Hot
376,2025,22,Freelancer,3,5,4,6173339,5,DVR,Belum,Cold
377,2025,36,Mahasiswa,16,2,19,5211652,7,Kamera CCTV,Belum,Warm
378,2025,23,Freelancer,17,6,7,5272118,6,DVR,Lunas,Warm
379,2025,25,Karyawan,16,8,13,6021856,7,Kamera CCTV,Belum,Warm
380,2025,34,Kontraktor,16,5,13,13905965,4,CCTV Outdoor,Belum,Hot
381,2025,22,Mahasiswa,9,1,9,10372128,8,Paket CCTV,Lunas,Warm
382,2025,38,Teknisi,20,1,2,1728353,8,CCTV Outdoor,Lunas,Cold
383,2025,22,Teknisi,16,7,18,8134059,2,CCTV Outdoor,Lunas,Hot
384,2025,32,Teknisi,20,7,12,6620413,4,CCTV Indoor,Lunas,Warm
385,2025,44,Wirausaha,7,1,17,1674785,8,Kamera CCTV,Lunas,Cold
386,2025,47,Pegawai,7,3,16,8065318,4,CCTV Indoor,Lunas,Warm
387,2025,38,Kontraktor,11,1,3,899418,4,Paket CCTV,Lunas,Cold
388,2025,22,Mahasiswa,13,8,3,8152325,3,CCTV Indoor,Belum,Warm
389,2025,36,Pegawai Swasta,5,7,1,12615403,6,CCTV Indoor,Lunas,Warm
390,2025,39,Pegawai,14,6,13,2151998,1,CCTV Outdoor,Belum,Cold
391,2025,35,Wirausaha,24,8,18,2378154,3,Kamera CCTV,Lunas,Cold
392,2025,50,Kontraktor,6,5,14,765359,6,Kamera CCTV,Lunas,Cold
393,2025,25,Wirausaha,4,6,6,13731288,5,Paket CCTV,Belum,Warm
394,2025,22,Pegawai Swasta,11,3,11,12970710,2,CCTV Outdoor,Belum,Warm
395,2025,46,Karyawan,16,6,9,10721495,2,Kamera CCTV,Lunas,Warm
396,2025,27,Freelancer,14,1,15,1755646,4,CCTV Indoor,Lunas,Cold
397,2025,36,Wirausaha,22,3,12,3097766,4,CCTV Outdoor,Belum,Warm
398,2025,49,Kontraktor,24,3,15,5710926,2,Paket CCTV,Belum,Warm
399,2025,46,Wirausaha,24,2,18,7816000,6,Kamera CCTV,Belum,Hot
400,2025,39,Pegawai Swasta,30,8,16,3965534,4,Paket CCTV,Lunas,Warm
401,2025,30,Kontraktor,2,7,15,11342853,3,Kamera CCTV,Lunas,Warm
402,2025,31,Pegawai Swasta,25,8,4,14430064,5,Kamera CCTV,Belum,Hot
403,2025,34,Teknisi,7,3,13,1464142,1,CCTV Outdoor,Lunas,Cold
404,2025,47,Karyawan,15,5,1,11447016,8,CCTV Outdoor,Belum,Warm
405,2025,48,Freelancer,11,1,20,10371844,8,CCTV Outdoor,Belum,Hot
406,2025,44,Wirausaha,24,6,12,10328976,8,CCTV Outdoor,Belum,Hot
407,2025,49,Wirausaha,27,4,13,3361417,7,Kamera CCTV,Belum,Warm
408,2025,27,Pegawai Swasta,21,8,18,5256938,4,CCTV Outdoor,Belum,Warm
409,2025,32,Wirausaha,1,4,3,11809144,7,Paket CCTV,Lunas,Cold
410,2025,42,Teknisi,16,6,4,2495230,8,Kamera CCTV,Lunas,Cold
411,2025,29,Karyawan,26,7,14,3726610,4,Paket CCTV,Belum,Warm
412,2025,47,Pegawai,10,6,8,12399488,8,Kamera CCTV,Lunas,Warm
413,2025,48,Freelancer,26,5,8,14495441,3,Kamera CCTV,Belum,Hot
414,2025,30,Karyawan,26,5,19,11710264,3,Kamera CCTV,Lunas,Hot
415,2025,31,Pegawai Swasta,24,4,20,4479926,6,Kamera CCTV,Belum,Warm
416,2025,27,Teknisi,27,5,5,11075589,8,CCTV Outdoor,Belum,Hot
417,2025,39,Pegawai Swasta,15,3,3,1118985,3,CCTV Indoor,Belum,Cold
418,2025,46,Wirausaha,25,2,8,2525406,8,CCTV Indoor,Belum,Warm
419,2025,27,Karyawan,8,3,20,13170840,8,CCTV Indoor,Lunas,Hot
420,2025,45,Karyawan,3,4,8,4022429,5,CCTV Indoor,Lunas,Warm
421,2025,28,Pegawai Swasta,6,3,18,11757603,2,Kamera CCTV,Lunas,Warm
422,2025,29,Teknisi,25,5,3,4357271,4,Paket CCTV,Belum,Warm
423,2025,40,Freelancer,20,1,18,14351828,7,DVR,Lunas,Hot
424,2025,23,Mahasiswa,28,1,4,13610254,2,DVR,Lunas,Warm
425,2025,22,Freelancer,15,7,13,11945206,8,CCTV Outdoor,Lunas,Hot
426,2025,30,Mahasiswa,25,7,17,10071332,2,DVR,Belum,Hot
427,2025,35,Pegawai Swasta,28,3,16,12411656,5,Paket CCTV,Belum,Hot
428,2025,46,Freelancer,27,6,15,6264031,8,Paket CCTV,Belum,Warm
429,2025,27,Kontraktor,2,1,4,9500977,8,DVR,Lunas,Cold
430,2025,50,Wirausaha,27,5,6,6726801,8,CCTV Outdoor,Belum,Warm
431,2025,48,Wirausaha,24,2,17,7558576,7,Kamera CCTV,Lunas,Hot
432,2025,50,Freelancer,2,2,16,3136507,4,Paket CCTV,Belum,Warm
433,2025,45,Wirausaha,1,7,12,6354970,3,Kamera CCTV,Lunas,Warm
434,2025,44,Pegawai,11,3,18,5984661,1,CCTV Indoor,Belum,Warm
435,2025,32,Pegawai Swasta,15,2,15,8551079,8,CCTV Outdoor,Belum,Hot
436,2025,33,Karyawan,7,7,5,8548744,5,Paket CCTV,Belum,Warm
437,2025,39,Karyawan,12,2,8,14182027,7,CCTV Outdoor,Belum,Warm
438,2025,37,Pegawai,4,8,10,5617316,6,CCTV Indoor,Belum,Warm
439,2025,35,Teknisi,21,3,19,13823206,1,Paket CCTV,Lunas,Hot
440,2025,32,Karyawan,26,2,15,5341273,3,DVR,Belum,Warm
441,2025,43,Freelancer,1,8,10,11637085,4,Kamera CCTV,Belum,Warm
442,2025,46,Pegawai Swasta,23,4,15,8828410,6,CCTV Indoor,Lunas,Hot
443,2025,25,Freelancer,3,5,2,12443618,6,DVR,Belum,Cold
444,2025,46,Pegawai,22,4,5,3364352,3,CCTV Indoor,Lunas,Warm
445,2025,36,Mahasiswa,22,5,1,12071035,5,CCTV Indoor,Belum,Warm
446,2025,26,Pegawai Swasta,18,4,14,2124454,3,Paket CCTV,Belum,Cold
447,2025,50,Kontraktor,10,1,11,5500104,6,CCTV Outdoor,Lunas,Warm
448,2025,47,Teknisi,25,3,5,6227196,7,Paket CCTV,Lunas,Warm
449,2025,43,Freelancer,16,3,4,1196745,2,Kamera CCTV,Belum,Cold
450,2025,27,Kontraktor,18,5,17,13005959,6,Paket CCTV,Lunas,Hot
451,2025,27,Karyawan,28,7,9,9178965,3,DVR,Lunas,Hot
452,2025,36,Freelancer,5,5,14,6361962,7,DVR,Lunas,Warm
453,2025,47,Wirausaha,15,5,1,2038776,2,Kamera CCTV,Belum,Cold
454,2025,41,Wirausaha,19,8,7,5129279,1,CCTV Indoor,Belum,Warm
455,2025,40,Karyawan,4,8,3,13488694,1,CCTV Indoor,Lunas,Cold
456,2025,39,Kontraktor,2,6,11,14141420,7,Paket CCTV,Belum,Warm
457,2025,33,Mahasiswa,14,6,13,2994538,1,Kamera CCTV,Lunas,Warm
458,2025,22,Karyawan,6,3,9,12976687,2,DVR,Belum,Warm
459,2025,39,Wirausaha,12,5,7,11043217,8,DVR,Lunas,Warm
460,2025,49,Karyawan,19,4,16,792172,1,DVR,Lunas,Cold
461,2025,40,Pegawai,24,5,15,1433000,1,Kamera CCTV,Belum,Cold
462,2025,48,Wirausaha,8,1,4,9882967,7,Paket CCTV,Belum,Warm
463,2025,41,Karyawan,13,3,2,10043683,7,CCTV Outdoor,Lunas,Warm
464,2025,48,Pegawai,22,1,6,2961307,7,Paket CCTV,Belum,Warm
465,2025,30,Pegawai Swasta,29,2,2,4322283,6,DVR,Lunas,Warm
466,2025,25,Teknisi,22,4,2,13291759,1,CCTV Outdoor,Belum,Warm
467,2025,44,Kontraktor,19,2,16,8820852,1,Paket CCTV,Lunas,Hot
468,2025,30,Mahasiswa,5,2,19,521138,2,Paket CCTV,Belum,Cold
469,2025,29,Mahasiswa,28,6,18,11001481,5,CCTV Indoor,Lunas,Hot
470,2025,44,Wirausaha,27,5,4,10031118,2,CCTV Outdoor,Belum,Hot
471,2025,46,Mahasiswa,16,7,20,5216010,1,DVR,Belum,Warm
472,2025,29,Kontraktor,29,8,7,4447530,8,DVR,Belum,Warm
473,2025,28,Wirausaha,6,2,5,1613462,6,Kamera CCTV,Belum,Cold
474,2025,28,Karyawan,17,3,14,4498608,2,DVR,Belum,Warm
475,2025,42,Mahasiswa,21,7,8,2957596,5,Paket CCTV,Belum,Warm
476,2025,37,Pegawai,25,5,16,13518330,2,DVR,Lunas,Hot
477,2025,27,Teknisi,5,2,9,11392483,6,Kamera CCTV,Belum,Warm
478,2025,40,Kontraktor,20,4,1,14132108,4,CCTV Outdoor,Belum,Warm
479,2025,25,Teknisi,24,4,13,2062572,6,CCTV Indoor,Lunas,Cold
480,2025,23,Teknisi,17,6,4,6486953,5,DVR,Lunas,Warm
481,2025,37,Wirausaha,9,3,13,8932403,7,Kamera CCTV,Lunas,Warm
482,2025,42,Freelancer,15,7,14,9397092,3,DVR,Lunas,Hot
483,2025,33,Pegawai Swasta,12,7,5,5054860,4,CCTV Outdoor,Lunas,Warm
484,2025,30,Kontraktor,13,6,19,4108342,8,Paket CCTV,Lunas,Warm
485,2025,22,Pegawai Swasta,5,2,15,13934188,4,Kamera CCTV,Belum,Warm
486,2025,23,Teknisi,8,8,3,4199305,5,DVR,Lunas,Warm
487,2025,36,Mahasiswa,19,8,9,3649705,1,Kamera CCTV,Belum,Warm
488,2025,38,Pegawai Swasta,15,2,3,12250747,2,DVR,Lunas,Warm
489,2025,29,Teknisi,24,5,11,3510928,5,DVR,Lunas,Warm
490,2025,35,Kontraktor,20,1,9,11703132,2,CCTV Outdoor,Belum,Warm
491,2025,37,Wirausaha,27,8,6,12727358,1,DVR,Belum,Hot
492,2025,29,Freelancer,28,5,10,2814436,1,CCTV Indoor,Belum,Warm
493,2025,36,Mahasiswa,23,4,16,10641497,6,Kamera CCTV,Belum,Hot
494,2025,44,Karyawan,9,6,19,4883466,3,CCTV Outdoor,Lunas,Warm
495,2025,42,Freelancer,26,3,13,4248308,1,CCTV Indoor,Belum,Warm
496,2025,46,Pegawai,13,7,18,4402642,4,Paket CCTV,Belum,Warm
497,2025,34,Kontraktor,9,7,12,1077738,1,Kamera CCTV,Lunas,Cold
498,2025,46,Pegawai,12,1,11,5799181,5,DVR,Lunas,Warm
499,2025,27,Freelancer,3,7,15,6218662,7,Paket CCTV,Lunas,Warm
500,2025,29,Freelancer,10,4,5,11298380,4,CCTV Outdoor,Belum,Warm
